Designator,Mid X,Mid Y,Rotation,Layer
MX102,155.575,-201.353825,0.0,top
MX103,236.5375,-201.353825,0.0,top
MX104,317.5,-201.353825,0.0,top
MX105,341.3125,-201.353825,0.0,top
MX106,365.125,-201.353825,0.0,top
MX107,393.7,-201.353825,0.0,top
MX108,412.75,-201.353825,0.0,top
MX109,431.8,-201.353825,0.0,top
MX11,331.7875,-101.341325,0.0,top
MX110,465.1375,-201.353825,0.0,top
MX111,493.7125,-201.353825,0.0,top
MX112,512.7625,-201.353825,0.0,top
MX113,455.6125,-201.353825,0.0,top
MX114,474.6625,-201.353825,0.0,top
MX115,106.3625,-182.303825,0.0,top
MX116,317.5,-182.303825,0.0,top
MX117,343.69375,-182.303825,0.0,top
MX118,369.8875,-182.303825,0.0,top
MX119,346.075,-163.253825,0.0,top
MX12,350.8375,-101.341325,0.0,top
MX120,367.50625,-153.728825,0.0,top
MX13,369.8875,-101.341325,0.0,top
MX14,393.7,-101.341325,0.0,top
MX15,412.75,-101.341325,0.0,top
MX16,431.8,-101.341325,0.0,top
MX2,141.2875,-101.341325,0.0,top
MX20,512.7625,-101.341325,0.0,top
MX21,103.1875,-125.153825,0.0,top
MX22,122.2375,-125.153825,0.0,top
MX23,141.2875,-125.153825,0.0,top
MX24,160.3375,-125.153825,0.0,top
MX25,179.3875,-125.153825,0.0,top
MX26,198.4375,-125.153825,0.0,top
MX27,217.4875,-125.153825,0.0,top
MX28,236.5375,-125.153825,0.0,top
MX29,255.5875,-125.153825,0.0,top
MX3,160.3375,-101.341325,0.0,top
MX30,274.6375,-125.153825,0.0,top
MX31,293.6875,-125.153825,0.0,top
MX32,312.7375,-125.153825,0.0,top
MX33,331.7875,-125.153825,0.0,top
MX34,360.3625,-125.153825,0.0,top
MX35,393.7,-125.153825,0.0,top
MX36,412.75,-125.153825,0.0,top
MX37,431.8,-125.153825,0.0,top
MX38,455.6125,-125.153825,0.0,top
MX39,474.6625,-125.153825,0.0,top
MX4,179.3875,-101.341325,0.0,top
MX40,493.7125,-125.153825,0.0,top
MX41,512.7625,-125.153825,0.0,top
MX42,107.95,-144.203825,0.0,top
MX43,131.7625,-144.203825,0.0,top
MX44,150.8125,-144.203825,0.0,top
MX45,169.8625,-144.203825,0.0,top
MX46,188.9125,-144.203825,0.0,top
MX47,207.9625,-144.203825,0.0,top
MX48,227.0125,-144.203825,0.0,top
MX49,246.0625,-144.203825,0.0,top
MX5,198.4375,-101.341325,0.0,top
MX50,265.1125,-144.203825,0.0,top
MX51,284.1625,-144.203825,0.0,top
MX52,303.2125,-144.203825,0.0,top
MX53,322.2625,-144.203825,0.0,top
MX54,341.3125,-144.203825,0.0,top
MX55,365.125,-144.203825,0.0,top
MX56,393.7,-144.203825,0.0,top
MX57,412.75,-144.203825,0.0,top
MX58,431.8,-144.203825,0.0,top
MX59,455.6125,-144.203825,0.0,top
MX6,227.0125,-101.341325,0.0,top
MX60,474.6625,-144.203825,0.0,top
MX61,493.7125,-144.203825,0.0,top
MX62,512.7625,-153.728825,0.0,top
MX63,512.7625,-144.203825,0.0,top
MX64,110.33125,-163.253825,0.0,top
MX65,105.56875,-163.253825,0.0,top
MX66,136.525,-163.253825,0.0,top
MX67,155.575,-163.253825,0.0,top
MX68,174.625,-163.253825,0.0,top
MX69,193.675,-163.253825,0.0,top
MX7,246.0625,-101.341325,0.0,top
MX70,212.725,-163.253825,0.0,top
MX71,231.775,-163.253825,0.0,top
MX72,250.825,-163.253825,0.0,top
MX73,269.875,-163.253825,0.0,top
MX74,288.925,-163.253825,0.0,top
MX75,307.975,-163.253825,0.0,top
MX76,327.025,-163.253825,0.0,top
MX77,357.98125,-163.253825,0.0,top
MX78,455.6125,-163.253825,0.0,top
MX79,474.6625,-163.253825,0.0,top
MX8,265.1125,-101.341325,0.0,top
MX80,493.7125,-163.253825,0.0,top
MX81,512.7625,-163.253825,0.0,top
MX82,115.09375,-182.303825,0.0,top
MX83,127.0,-182.303825,0.0,top
MX84,146.05,-182.303825,0.0,top
MX85,165.1,-182.303825,0.0,top
MX86,184.15,-182.303825,0.0,top
MX87,203.2,-182.303825,0.0,top
MX88,222.25,-182.303825,0.0,top
