Designator,Mid X,Mid Y,Rotation,Layer
MX101,412.75,-182.243825,0.0,top
MX102,455.6125,-182.243825,0.0,top
MX103,474.6625,-182.243825,0.0,top
MX104,493.7125,-182.243825,0.0,top
MX105,511.89255,-193.946875,0.0,top
MX106,512.7625,-182.243825,0.0,top
MX107,107.95,-201.293825,0.0,top
MX108,131.7625,-201.293825,0.0,top
MX109,155.575,-201.293825,0.0,top
MX11,331.7875,-101.281325,0.0,top
MX110,227.001615,-202.601925,0.0,bottom
MX111,236.5375,-202.601925,0.0,top
MX112,298.45,-201.293825,0.0,top
MX113,317.5,-201.293825,0.0,top
MX114,322.2625,-201.293825,0.0,top
MX115,341.3125,-201.293825,0.0,top
MX116,365.125,-201.293825,0.0,top
MX117,393.7,-201.293825,0.0,top
MX118,412.75,-201.293825,0.0,top
MX119,431.8,-201.293825,0.0,top
MX12,350.8375,-101.281325,0.0,top
MX120,465.1375,-202.601925,0.0,top
MX121,493.7125,-201.293825,0.0,top
MX122,512.7625,-201.293825,0.0,top
MX123,455.6125,-201.293825,0.0,top
MX124,474.6625,-201.293825,0.0,top
MX13,369.8875,-101.281325,0.0,top
MX14,393.7,-101.281325,0.0,top
MX15,412.75,-101.281325,0.0,top
MX16,431.8,-101.281325,0.0,top
MX17,474.6625,-101.281325,0.0,top
MX18,493.7125,-101.281325,0.0,top
MX19,512.7625,-101.281325,0.0,top
MX2,141.2875,-101.281325,0.0,top
MX20,103.1875,-125.093825,0.0,top
MX21,122.2375,-125.093825,0.0,top
MX22,141.2875,-125.093825,0.0,top
MX23,160.3375,-125.093825,0.0,top
MX24,179.3875,-125.093825,0.0,top
MX25,198.4375,-125.093825,0.0,top
MX26,217.4875,-125.093825,0.0,top
MX27,236.5375,-125.093825,0.0,top
MX28,255.5875,-125.093825,0.0,top
MX29,274.6375,-125.093825,0.0,top
MX3,160.3375,-101.281325,0.0,top
MX30,293.6875,-125.093825,0.0,top
MX31,312.7375,-125.093825,0.0,top
MX32,331.7875,-125.093825,0.0,top
MX33,350.8375,-125.093825,0.0,top
MX34,360.3625,-128.141825,0.0,top
MX35,393.7,-125.093825,0.0,top
MX36,412.75,-125.093825,0.0,top
MX37,431.8,-125.093825,0.0,top
MX38,455.6125,-125.093825,0.0,top
MX39,474.6625,-125.093825,0.0,top
MX4,179.3875,-101.281325,0.0,top
MX40,493.7125,-125.093825,0.0,top
MX41,512.7625,-125.093825,0.0,top
MX42,107.95,-144.143825,0.0,top
MX43,131.7625,-144.143825,0.0,top
MX44,150.8125,-144.143825,0.0,top
MX45,169.8625,-144.143825,0.0,top
MX46,188.9125,-144.143825,0.0,top
MX47,207.9625,-144.143825,0.0,top
MX48,227.0125,-144.143825,0.0,top
MX49,246.0625,-144.143825,0.0,top
MX5,198.4375,-101.281325,0.0,top
MX50,265.1125,-144.143825,0.0,top
MX51,284.1625,-144.143825,0.0,top
MX52,303.2125,-144.143825,0.0,top
MX53,322.2625,-144.143825,0.0,top
MX54,341.3125,-144.143825,0.0,top
MX55,365.125,-144.143825,0.0,top
MX56,366.6363,-155.846875,0.0,top
MX57,393.7,-144.143825,0.0,top
MX58,412.75,-144.143825,0.0,top
MX59,431.8,-144.143825,0.0,top
MX6,227.0125,-101.281325,0.0,top
MX60,455.6125,-144.143825,0.0,top
MX61,474.6625,-144.143825,0.0,top
MX62,493.7125,-144.143825,0.0,top
MX63,511.89255,-155.846875,0.0,top
MX64,512.7625,-144.143825,0.0,top
MX65,110.33125,-163.193825,0.0,top
MX66,105.56875,-163.193825,0.0,top
